Tweet Id	Text	Name	Screen Name	UTC	Created At	Favorites	Retweets	Language	Client	Tweet Type	URLs	Hashtags	Mentions	Media Type	Media URLs			
1291369685821186048	If I'm elected president, our students and educators will have all the tools and resources they need to succeed and get through COVID-19. https://t.co/ul9vTTcT40	Joe Biden	JoeBiden	2020-08-06T13:45:00.000Z	Thu Aug 06 13:45:00 +0000 2020	10491	2579	en	<a href="https://studio.twitter.com" rel="nofollow">Twitter Media Studio</a>	Tweet		0	0	video	https://video.twimg.com/amplify_video/1291367658315747328/vid/480x480/jBLZTi_nzrdmZClZ.mp4?tag=13			
1291172134341840896	"Donald Trump promised to bring back jobs, but his policies crushed the manufacturing sector—and that was true even before COVID-19.

I’ll revitalize American manufacturing and innovation and create millions of good-paying jobs so we can build back better. https://t.co/HrOOkWWQof"	Joe Biden	JoeBiden	2020-08-06T00:40:00.000Z	Thu Aug 06 00:40:00 +0000 2020	14447	3671	en	<a href="https://about.twitter.com/products/tweetdeck" rel="nofollow">TweetDeck</a>	Tweet	https://joebiden.com/made-in-america/ 	0	0					
1291158292786544643	Growing up in Scranton, I learned the importance of hard work, treating others with dignity and respect, and leaving no one behind. Those values have guided my entire life — and they're the values I'll bring back to the White House. https://t.co/aelfrxaISg	Joe Biden	JoeBiden	2020-08-05T23:45:00.000Z	Wed Aug 05 23:45:00 +0000 2020	15658	4282	en	<a href="https://studio.twitter.com" rel="nofollow">Twitter Media Studio</a>	Tweet		0	0	video	https://video.twimg.com/amplify_video/1291156508328235008/vid/480x480/ftWOTxpaS7kyHMAq.mp4?tag=13			
1291146968136323073	Folks, a lot of you have been asking when I’m announcing my running mate, and I promise I’ll let you know soon. But here’s what I can tell you right now: I’m going to tell my supporters first — so text FIRST to 30330 to be the first to know.	Joe Biden	JoeBiden	2020-08-05T23:00:00.000Z	Wed Aug 05 23:00:00 +0000 2020	63089	9550	en	<a href="https://about.twitter.com/products/tweetdeck" rel="nofollow">TweetDeck</a>	Tweet		0	0					
1291139418732937217	I don’t buy for one second that the vitality of American manufacturing is a thing of the past. As president, I'll make bold investments in American manufacturing, industry, and innovation to make sure the future is made in America — by all of America. https://t.co/LkIi8g6M5i	Joe Biden	JoeBiden	2020-08-05T22:30:00.000Z	Wed Aug 05 22:30:00 +0000 2020	9442	2375	en	<a href="https://studio.twitter.com" rel="nofollow">Twitter Media Studio</a>	Tweet		0	0	animated_gif	https://video.twimg.com/tweet_video/EesMBOIXYAcBf73.mp4			
1291111736167211008	There's been a lot of talk about my vetting process lately. Here’s an inside look: https://t.co/tFRKJOE3hi	Joe Biden	JoeBiden	2020-08-05T20:40:00.000Z	Wed Aug 05 20:40:00 +0000 2020	107203	23555	en	<a href="https://studio.twitter.com" rel="nofollow">Twitter Media Studio</a>	Tweet		0	0	video	https://video.twimg.com/amplify_video/1291108577114021893/vid/720x900/-tsCGL4_xqDyQjyZ.mp4?tag=13			
1291090345103679494	Weapons of war have no place in our communities. When I was a senator, I took on the @NRA and secured a 10-year ban on assault weapons — and as president, I’ll ban these weapons again. https://t.co/ggqSaj40EJ	Joe Biden	JoeBiden	2020-08-05T19:15:00.000Z	Wed Aug 05 19:15:00 +0000 2020	46421	9061	en	<a href="https://about.twitter.com/products/tweetdeck" rel="nofollow">TweetDeck</a>	Tweet		0	1	photo	https://pbs.twimg.com/media/EerdsimWsAMNSok.png			
1291075245751832576	Eight years ago, a white supremacist targeted a Sikh temple in Oak Creek, WI — ultimately taking seven lives in an unspeakable act of terror. To truly honor those we lost, it's up to all of us to stand up to bigotry in our lives, give hate no safe harbor, and reduce gun violence.	Joe Biden	JoeBiden	2020-08-05T18:15:00.000Z	Wed Aug 05 18:15:00 +0000 2020	58188	11187	en	<a href="https://about.twitter.com/products/tweetdeck" rel="nofollow">TweetDeck</a>	Tweet		0	0					
1291042027212140546	I truly believe that we can revitalize American manufacturing and create a better economy at the same time. I want to build an economy that brings everyone along — one that works for the middle class, not just the wealthy and well-connected. https://t.co/3fYbFfsvDb	Joe Biden	JoeBiden	2020-08-05T16:03:00.000Z	Wed Aug 05 16:03:00 +0000 2020	19791	6082	en	<a href="https://studio.twitter.com" rel="nofollow">Twitter Media Studio</a>	Tweet		0	0	video	https://video.twimg.com/amplify_video/1281239939536093184/vid/720x720/CyHuBPxJ0v6G58iF.mp4?tag=13			
1290998489975885826	The truth of the matter is, Donald Trump inherited a growing economy from President Obama and me. And just like everything else he inherited in his life, he squandered it. https://t.co/EPxDx4ecoU	Joe Biden	JoeBiden	2020-08-05T13:10:00.000Z	Wed Aug 05 13:10:00 +0000 2020	120663	36122	en	<a href="https://studio.twitter.com" rel="nofollow">Twitter Media Studio</a>	Tweet		0	0	video	https://video.twimg.com/amplify_video/1290996947734724608/pl/qS1s1htjOFei8Nim.m3u8?tag=13			
1290812262744305665	"From day one, Donald Trump downplayed the threat COVID-19 posed, ignored scientists, and refused to take action. 

Now, nearly 5 million cases and more than 150,000 deaths later, it's crystal clear we're paying the price for his failed leadership."	Joe Biden	JoeBiden	2020-08-05T00:50:00.000Z	Wed Aug 05 00:50:00 +0000 2020	80765	17156	en	<a href="https://about.twitter.com/products/tweetdeck" rel="nofollow">TweetDeck</a>	Tweet		0	0					
1290792130345082880	On day one, I’ll send a bill to Congress creating a clear roadmap to citizenship for Dreamers and the 11 million undocumented people already strengthening our nation. It’s long overdue. https://t.co/ajO7uUb9po	Joe Biden	JoeBiden	2020-08-04T23:30:00.000Z	Tue Aug 04 23:30:00 +0000 2020	25320	5360	en	<a href="https://about.twitter.com/products/tweetdeck" rel="nofollow">TweetDeck</a>	Tweet		0	0	photo	https://pbs.twimg.com/media/EenLL-kXsAA2LW3.png			
1290779547072253955	Our hearts and prayers are with the people of Lebanon, and the victims of the horrific explosion in Beirut. I urge both the Trump Administration and international community to immediately mobilize assistance to the thousands injured in the blast.	Joe Biden	JoeBiden	2020-08-04T22:40:00.000Z	Tue Aug 04 22:40:00 +0000 2020	115309	17572	en	<a href="https://about.twitter.com/products/tweetdeck" rel="nofollow">TweetDeck</a>	Tweet		0	0					
1290757401243602944	"Thousands of Americans are dying every week. The President's response?

""It is what it is."" https://t.co/GT59hr14kb"	Joe Biden	JoeBiden	2020-08-04T21:12:00.000Z	Tue Aug 04 21:12:00 +0000 2020	115508	43642	en	<a href="https://studio.twitter.com" rel="nofollow">Twitter Media Studio</a>	Tweet		0	0	video	https://video.twimg.com/amplify_video/1290754683066298370/vid/720x720/Z9rdxxqyxuMFKCFZ.mp4?tag=13			
1290749599775260672	"I’ll get to work on day one enacting the changes needed to help the Latino community thrive.

Read my full plan here: https://t.co/SaL4WaFkEA https://t.co/vhwTRcwHlO"	Joe Biden	JoeBiden	2020-08-04T20:41:00.000Z	Tue Aug 04 20:41:00 +0000 2020	10873	2844	en	<a href="https://studio.twitter.com" rel="nofollow">Twitter Media Studio</a>	Tweet	https://joe.link/2DcQuHE 	0	0	video	https://video.twimg.com/amplify_video/1290748727087566848/pl/G0qXQwgPgVVdQrYW.m3u8?tag=13			
1290721665836388352	Happy birthday to my brother and friend, @BarackObama! Serving alongside you for eight years was the greatest honor of my life — and I'm grateful to have you by my side for these next 91 days. https://t.co/qLl42Im40C	Joe Biden	JoeBiden	2020-08-04T18:50:00.000Z	Tue Aug 04 18:50:00 +0000 2020	163491	20081	en	<a href="https://about.twitter.com/products/tweetdeck" rel="nofollow">TweetDeck</a>	Tweet		0	1	photo	https://pbs.twimg.com/media/EemOwsjWAAgRmVh.jpg			
1290713612630228992	"We can’t just build back to the way things were before these crises. We have to build a more inclusive, equitable future for all.

Here’s how we’ll do it: https://t.co/SaL4WanJN2 https://t.co/IeMtNqBynx"	Joe Biden	JoeBiden	2020-08-04T18:18:00.000Z	Tue Aug 04 18:18:00 +0000 2020	8820	2165	en	<a href="https://about.twitter.com/products/tweetdeck" rel="nofollow">TweetDeck</a>	Tweet	https://joe.link/2DcQuHE 	0	0	photo	https://pbs.twimg.com/media/EemI4TmXoAEd2R-.png			
1290675360682500096	The Latino community is bearing disproportionate harm from this pandemic. But even before, many Latino families were already struggling. We've got to do better. That's why today, I'm releasing my new agenda for the Latino community: https://t.co/xgGUoleGQO	Joe Biden	JoeBiden	2020-08-04T15:46:00.000Z	Tue Aug 04 15:46:00 +0000 2020	16399	4878	en	<a href="https://about.twitter.com/products/tweetdeck" rel="nofollow">TweetDeck</a>	Tweet	https://medium.com/@JoeBiden/the-biden-agenda-for-the-latino-community-4d7329c2644b 	0	0					
1290670187482624006	As president, I’ll take on the powerful gun lobby to pass universal background checks, ban assault weapons and high-capacity magazines, and close loopholes to keep guns out of dangerous hands. We can and will end our gun violence epidemic.	Joe Biden	JoeBiden	2020-08-04T15:25:26.000Z	Tue Aug 04 15:25:26 +0000 2020	30402	4471	en	<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>	Reply		0	0					
