Tweet Id	Text	Name	Screen Name	UTC	Created At	Favorites	Retweets	Language	Client	Tweet Type	URLs	Hashtags	Mentions	Media Type	Media URLs			
1291380640366104576	I'm proud to support @VoteGloriaJ for re-election to State House District 13. She's been a champion for working families—whether she’s fighting to ensure every child has access to high-quality public education or making sure families don’t go broke paying medical bills.	Elizabeth Warren	ewarren	2020-08-06T14:28:32.000Z	Thu Aug 06 14:28:32 +0000 2020	305	65	en	<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>	Reply		0	1					
1291380638755500032	As a consensus builder and community advocate, @Brandon4Tenn has proven he'll fight for health care, criminal justice reform, and an economy that works for everyone. I'm excited to stand with him in this fight to win State House District 49, and in the many fights to come.	Elizabeth Warren	ewarren	2020-08-06T14:28:31.000Z	Thu Aug 06 14:28:31 +0000 2020	313	61	en	<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>	Reply		0	1					
1291380637379821569	I'm excited to support @GabbySalinas—a cancer survivor, scientist, and health care advocate dedicated to bold, inclusive reform for State House District 97. She has an incredible story of survival and resilience, and she's running to care for the community that took care of her.	Elizabeth Warren	ewarren	2020-08-06T14:28:31.000Z	Thu Aug 06 14:28:31 +0000 2020	149	31	en	<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>	Reply		0	1					
1291380635051921410	"It's Election Day, Tennessee! Real change starts at the local level, and I want to tell you about three incredible Democrats I’ve endorsed for the State House of Representatives.

Read up on them below ⬇️ and then find your polling place and get out there: https://t.co/oWULBRDJ4J"	Elizabeth Warren	ewarren	2020-08-06T14:28:30.000Z	Thu Aug 06 14:28:30 +0000 2020	997	246	en	<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>	Tweet	http://IWillVote.com 	0	0					
1291176847582011393	With each new “bug” it becomes increasingly clear how little Mark Zuckerberg and his friends learned from 2016—and how unprepared they are to handle 2020. https://t.co/ScdDvhlkNU	Elizabeth Warren	ewarren	2020-08-06T00:58:44.000Z	Thu Aug 06 00:58:44 +0000 2020	15034	3577	en	<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>	Tweet	https://twitter.com/BuzzFeedNews/status/1291048315728080908 	0	0					
1291151729019490309	"Last week I shared with @YNB and @emilyslist my simple message to women who want to run for office: 

Do it. Take the risk. You don’t get what you don’t fight for. https://t.co/zwzgLwc9Xm"	Elizabeth Warren	ewarren	2020-08-05T23:18:55.000Z	Wed Aug 05 23:18:55 +0000 2020	1906	430	en	<a href="https://studio.twitter.com" rel="nofollow">Twitter Media Studio</a>	Tweet		0	2	video	https://video.twimg.com/amplify_video/1291107054153867265/vid/320x320/n8T_3LSUpv1I-wl0.mp4?tag=13			
1291129040930254849	"We still have so much work to do to combat white supremacy, gun violence, and all of the hatred, racism, and xenophobia embedded in our culture. 

Let’s recommit to that work today as we stand with the Sikh community and #RememberOakCreek. https://t.co/NdBUzeQzyX"	Elizabeth Warren	ewarren	2020-08-05T21:48:46.000Z	Wed Aug 05 21:48:46 +0000 2020	1933	424	en	<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>	Tweet	https://twitter.com/splcenter/status/1291056470415548421 	1	0					
1291105041902972928	It’s not possible to fix the economy without containing the virus. We know what we need to do to keep people safe—invest in widespread testing and contact tracing, socially distance, and wear masks. It’s past time for Republicans to act with the urgency this pandemic demands.	Elizabeth Warren	ewarren	2020-08-05T20:13:24.000Z	Wed Aug 05 20:13:24 +0000 2020	12111	2597	en	<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>	Tweet		0	0					
1291090439601369088	"Health care is a basic human right.

I’m glad to see that Missourians voted to expand Medicaid, ensuring that thousands more people will get the life-saving medical care they need. We will keep fighting until that's true for everyone.
https://t.co/5DcDGl4Aa6"	Elizabeth Warren	ewarren	2020-08-05T19:15:22.000Z	Wed Aug 05 19:15:22 +0000 2020	1926	337	en	<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>	Tweet	https://news.stlpublicradio.org/government-politics-issues/2020-08-04/missouri-becomes-38th-state-to-expand-medicaid 	0	0					
1291075758325223424	"We have to fight back against Republican attacks on our right to vote. We need to restore the VRA, shore up the USPS, and pass expanded vote by mail, online registration, and in-person voting protections.

Democracy is on the line this November."	Elizabeth Warren	ewarren	2020-08-05T18:17:02.000Z	Wed Aug 05 18:17:02 +0000 2020	10027	2212	en	<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>	Tweet		0	0					
