Text	Screen Name	UTC	Client	Tweet Type	URLs	Hashtags	Mentions	Media Type
I’m proud to endorse this diverse and hopeful collection of thoughtful, empathetic, and highly qualified Democrats. If you’re in one of their districts or states, make sure you vote for them this fall. And if you can, vote early—by mail or in person. https://t.co/PSm3Rf3wkF https://t.co/7RXrJriBz8	BarackObama	2020-08-03T15:02:05.000Z	<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>	Tweet	https://medium.com/@BarackObama/first-wave-of-2020-endorsements-43b2b0c667f6 	0	0	photo
Welcome home, @AstroBehnken and @Astro_Doug! We launched the Commercial Crew program to strengthen our U.S. space program and it's been great to see its success. This historic NASA-SpaceX mission is a symbol of what American ingenuity and inventiveness can achieve. https://t.co/vvOSopBUdP	BarackObama	2020-08-02T19:30:15.000Z	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Tweet		0	2	photo
This pandemic is far from over––and our medical professionals continue to put their lives on the line to keep our country going. @JoeBiden and I had a chance to thank Dr. @Craig_A_Spencer for his work during the Ebola crisis and this current pandemic. https://t.co/FlyGFIUHl7	BarackObama	2020-08-01T17:00:04.000Z	<a href="https://studio.twitter.com" rel="nofollow">Twitter Media Studio</a>	Tweet		0	2	video
John believed that in all of us, there exists the capacity for great courage and a longing to do what’s right. We are so lucky to have had him show us the way. I offered some thoughts today on his life and how, like him, we can give it all we have. https://t.co/7UHT86OzEj	BarackObama	2020-07-30T20:47:25.000Z	<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>	Tweet	https://obama.medium.com/my-eulogy-for-congressman-john-lewis-101ea5eb49d1 	0	0	
"John spent his entire life fighting for justice and equality––and now he has left behind his marching orders for all of us. 

https://t.co/Cs5H6ckezR"	BarackObama	2020-07-30T14:00:06.000Z	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Tweet	https://www.nytimes.com/2020/07/30/opinion/john-lewis-civil-rights-america.html 	0	0	
Michelle and I have spent a lot of time together these past few months. We’ve had a lot of good talks—and this one’s up there with the best. Take a listen to the very first episode of Michelle’s podcast: https://t.co/JEaVgT6GPC. https://t.co/oRn1figrRK	BarackObama	2020-07-29T12:15:32.000Z	<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>	Tweet	http://spoti.fi/MichelleObamaPodcastEp1 	0	0	photo
It's National Vote By Mail Day. Voting by mail is easy and safe. Take a few minutes to request your vote-by-mail ballot, then get your family and friends to do the same. Request your ballot early, send it back early, and fill it out carefully. Get started: https://t.co/pmWQqs4PbB https://t.co/JlOWmkJG57	BarackObama	2020-07-28T16:28:15.000Z	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Tweet	http://votesaveamerica.com/everylastvote/ 	0	0	photo
We're 100 days away from Election Day and there is too much at stake to sit this one out. Now's a good time to make sure you're registered to vote––and to make sure your friends and family are, too. https://t.co/XdZz4dh82T	BarackObama	2020-07-26T16:00:15.000Z	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Tweet	http://iwillvote.com 	0	0	
To celebrate the 30th anniversary of the Americans with Disabilities Act, I got the chance to talk to the next generation of activists and advocates in the disability rights movement––they're continuing the work of the activists in @CripCampFilm and I couldn't be prouder of them. https://t.co/k7r5JJUC9T	BarackObama	2020-07-26T13:00:05.000Z	<a href="https://studio.twitter.com" rel="nofollow">Twitter Media Studio</a>	Tweet		0	1	video
Although we’ve seen some positive findings recently about the possibilities of developing a vaccine for COVID-19, this article gives a good summary of why it may take months before any effective vaccine can be widely distributed. https://t.co/C1nPSNwKBa	BarackObama	2020-07-24T18:26:39.000Z	<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>	Tweet	https://www.theatlantic.com/health/archive/2020/07/covid-19-vaccine-reality-check/614566/ 	0	0	
